"","foldchange1","foldchange1.1","foldchange1.2","foldchange1.3","foldchange1.4","foldchange1.5","foldchange1.6","foldchange1.7","foldchange1.8","foldchange1.9","foldchange2","foldchange2.1","foldchange2.2","foldchange2.3","foldchange2.4"
"1","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2","BC000527.2"
"2","BC030578.1","BC030578.1","BC015848.1","BC010896.1","BC010896.1","BC002862.2","BC002862.2","BC002862.2","BC018728.1","BC018728.1","BC016005.1","BC016005.1","BC016005.1","BC005140.2","BC004523.2"
"3","BC035680.1","BC035680.1","BC030578.1","BC030578.1","BC030578.1","BC010896.1","BC010896.1","BC015848.1","BC030578.1","BC030578.1","BC018728.1","BC018728.1","BC018728.1","BC020499.1","BC005140.2"
"4","BC047703.2","BC047703.2","BC035680.1","BC035680.1","BC035680.1","BC015848.1","BC015848.1","BC030578.1","BC035680.1","BC034410.1","BC030578.1","BC030578.1","BC030578.1","BC030578.1","BC030578.1"
"5","NM_001001567.1","NM_001001567.1","BC045191.2","BC045191.2","BC045191.2","BC030578.1","BC030578.1","BC035680.1","BC045191.2","BC048969.1","BC034410.1","BC034410.1","BC036501.1","BC036501.1","BC036501.1"
"6","NM_001004489.1","NM_001004489.1","BC066265.1","BC066265.1","BC066265.1","BC035680.1","BC035680.1","BC045191.2","BC066265.1","ENST00000306750","BC067466.1","BC036501.1","NM_001013258.1","NM_001009598.1","NM_001013258.1"
"7","NM_001013258.1","NM_001007559.1","NM_000557.2","NM_000557.2","NM_000557.2","BC045191.2","BC045191.2","BC066265.1","ENST00000306750","NM_001013258.1","NM_001013258.1","NM_001013258.1","NM_003598.1","NM_001013258.1","NM_001077498.1"
"8","NM_001032296.2","NM_004762.2","NM_001001567.1","NM_001007559.1","NM_001007559.1","BC066265.1","BC066265.1","NM_000557.2","NM_000943.4","NM_003979.3","NM_004504.3","NM_004504.3","NM_004504.3","NM_001077498.1","NM_003598.1"
"9","NM_002435.1","NM_006811.2","NM_001007559.1","NM_003979.3","NM_003979.3","NM_000557.2","ENST00000306750","NM_001025436.1","NM_001878.2","NM_005644.2","NM_005644.2","NM_005644.2","NM_005644.2","NM_001239.2","NM_004504.3"
"10","NM_004762.2","NM_007189.1","NM_003979.3","NM_004762.2","NM_004762.2","NM_001007559.1","NM_000557.2","NM_001042429.1","NM_003979.3","NM_005720.2","NM_007208.2","NM_007208.2","NM_005720.2","NM_003598.1","NM_014445.3"
"11","NM_007373.2","NM_007373.2","NM_004762.2","NM_006811.2","NM_006811.2","NM_003979.3","NM_001025436.1","NM_001878.2","NM_004762.2","NM_007373.2","NM_007373.2","NM_007373.2","NM_007208.2","NM_004504.3","NM_014887.1"
"12","NM_012405.3","NM_012405.3","NM_006811.2","NM_007189.1","NM_007189.1","NM_004762.2","NM_003979.3","NM_003979.3","NM_007373.2","NM_014096.2","NM_014096.2","NM_014182.3","NM_007373.2","NM_014445.3","NM_016224.3"
"13","NM_015004.2","NM_015004.2","NM_007189.1","NM_007373.2","NM_007373.2","NM_006811.2","NM_004762.2","NM_004762.2","NM_015004.2","NM_014182.3","NM_014182.3","NM_014445.3","NM_014445.3","NM_014887.1","NM_017807.2"
"14","NM_016120.2","NM_138610.2","NM_007373.2","NM_012405.3","NM_012405.3","NM_007189.1","NM_006811.2","NM_007189.1","NM_020319.1","NM_014887.1","NM_014445.3","NM_014887.1","NM_014887.1","NM_015435.3","NM_020387.2"
"15","NM_021268.1","NM_145030.1","NM_015004.2","NM_015004.2","NM_015004.2","NM_007373.2","NM_007189.1","NM_007373.2","NM_025078.3","NM_015004.2","NM_014887.1","NM_020532.4","NM_020387.2","NM_016224.3","NM_020532.4"
"16","NM_138610.2","NM_153359.1","NM_138610.2","NM_020319.1","NM_020319.1","NM_012278.1","NM_007373.2","NM_015004.2","NM_025214.1","NM_020319.1","NM_031431.2","NM_031431.2","NM_020532.4","NM_020387.2","NM_031431.2"
"17","NM_145030.1","NM_174896.2","NM_145030.1","NM_025214.1","NM_025214.1","NM_015004.2","NM_015004.2","NM_025214.1","NM_032376.2","NM_021268.1","NM_032376.2","NM_032376.2","NM_031431.2","NM_020532.4","NM_032132.2"
"18","NM_153359.1","NM_175609.1","NM_153359.1","NM_138610.2","NM_138610.2","NM_025214.1","NM_025214.1","NM_032376.2","NM_152835.1","NM_032376.2","NM_139204.1","NM_139204.1","NM_032376.2","NM_031431.2","NM_032376.2"
"19","NM_174896.2","NM_177996.1","NM_175609.1","NM_175609.1","NM_175609.1","NM_175609.1","NM_175609.1","NM_175609.1","NM_175609.1","NM_152835.1","NM_152835.1","NM_152835.1","NM_152835.1","NM_032376.2","NM_138805.2"
"20","NM_182623.1","NM_182623.1","NM_182623.1","NM_182623.1","NM_182623.1","NM_182623.1","NM_182623.1","NM_182623.1","NM_182623.1","NM_175609.1","NM_175609.1","NM_175609.1","NM_175609.1","NM_205840.1","NM_205840.1"
